"table","column","type","dimension"
business_statuses,business_status_id,integer,"32,0"
business_statuses,code,character varying,"50"
business_statuses,created_at,timestamp without time zone,","
business_statuses,updated_at,timestamp without time zone,","
business_statuses,data_source,character varying,"50"
business_statuses,deleted_at,timestamp without time zone,","
canceled_orders,canceled_order_id,integer,"32,0"
canceled_orders,order_id,integer,"32,0"
canceled_orders,reason_id,integer,"32,0"
canceled_orders,canceled_at,timestamp without time zone,","
canceled_orders,created_at,timestamp without time zone,","
canceled_orders,updated_at,timestamp without time zone,","
canceled_orders,data_source,character varying,"50"
canceled_orders,deleted_at,timestamp without time zone,","
cancellation_reasons,reason_id,integer,"32,0"
cancellation_reasons,reason,character varying,"255"
cancellation_reasons,comment,text,","
cancellation_reasons,created_at,timestamp without time zone,","
cancellation_reasons,updated_at,timestamp without time zone,","
cancellation_reasons,data_source,character varying,"50"
cancellation_reasons,deleted_at,timestamp without time zone,","
categories,category_id,integer,"32,0"
categories,name,character varying,"50"
categories,created_at,timestamp without time zone,","
categories,updated_at,timestamp without time zone,","
categories,data_source,character varying,"50"
categories,deleted_at,timestamp without time zone,","
delivery_orders,delivery_id,integer,"32,0"
delivery_orders,address,text,","
delivery_orders,delivery_date,date,","
delivery_orders,delivery_time_start,time without time zone,","
delivery_orders,delivery_time_end,time without time zone,","
delivery_orders,courier_name,character varying,"100"
delivery_orders,courier_contact,character varying,"100"
delivery_orders,order_id,bigint,"64,0"
delivery_orders,created_at,timestamp without time zone,","
delivery_orders,updated_at,timestamp without time zone,","
delivery_orders,data_source,character varying,"50"
delivery_orders,deleted_at,timestamp without time zone,","
delivery_types,id,integer,"32,0"
delivery_types,code,text,","
delivery_types,created_at,timestamp without time zone,","
delivery_types,updated_at,timestamp without time zone,","
delivery_types,data_source,character varying,"50"
delivery_types,deleted_at,timestamp without time zone,","
fillers,filler_id,integer,"32,0"
fillers,name,character varying,"50"
fillers,comment,text,","
fillers,created_at,timestamp without time zone,","
fillers,updated_at,timestamp without time zone,","
fillers,data_source,character varying,"50"
fillers,deleted_at,timestamp without time zone,","
order_items,order_item_id,integer,"32,0"
order_items,order_id,integer,"32,0"
order_items,product_id,integer,"32,0"
order_items,product_type_id,integer,"32,0"
order_items,filler_id,integer,"32,0"
order_items,volume_id,integer,"32,0"
order_items,weight_g,integer,"32,0"
order_items,quantity,integer,"32,0"
order_items,created_at,timestamp without time zone,","
order_items,updated_at,timestamp without time zone,","
order_items,data_source,character varying,"50"
order_items,deleted_at,timestamp without time zone,","
order_pickup_points,order_id,bigint,"64,0"
order_pickup_points,pickup_point_id,bigint,"64,0"
order_pickup_points,created_at,timestamp without time zone,","
order_pickup_points,updated_at,timestamp without time zone,","
order_pickup_points,data_source,character varying,"50"
order_pickup_points,deleted_at,timestamp without time zone,","
order_status_history,id,bigint,"64,0"
order_status_history,order_id,bigint,"64,0"
order_status_history,status_id,integer,"32,0"
order_status_history,changed_at,timestamp without time zone,","
order_status_history,created_at,timestamp without time zone,","
order_status_history,updated_at,timestamp without time zone,","
order_status_history,data_source,character varying,"50"
order_status_history,deleted_at,timestamp without time zone,","
order_statuses,status_id,integer,"32,0"
order_statuses,name,character varying,"50"
order_statuses,code,character varying,"50"
order_statuses,created_at,timestamp without time zone,","
order_statuses,updated_at,timestamp without time zone,","
order_statuses,data_source,character varying,"50"
order_statuses,deleted_at,timestamp without time zone,","
orders,order_id,integer,"32,0"
orders,customer_name,character varying,"100"
orders,telegram_contact,character varying,"100"
orders,phone,character varying,"30"
orders,created_at,timestamp without time zone,","
orders,desired_date,date,","
orders,is_closed,boolean,","
orders,comments,text,","
orders,delivery_type_id,integer,"32,0"
orders,is_paid,boolean,","
orders,business_status_id,integer,"32,0"
orders,business_status_changed_at,timestamp without time zone,","
orders,updated_at,timestamp without time zone,","
orders,data_source,character varying,"50"
orders,deleted_at,timestamp without time zone,","
pickup_points,pickup_point_id,integer,"32,0"
pickup_points,name,character varying,"50"
pickup_points,created_at,timestamp without time zone,","
pickup_points,updated_at,timestamp without time zone,","
pickup_points,data_source,character varying,"50"
pickup_points,deleted_at,timestamp without time zone,","
product_prices,price_id,integer,"32,0"
product_prices,product_id,integer,"32,0"
product_prices,unit_id,integer,"32,0"
product_prices,volume_id,integer,"32,0"
product_prices,price,numeric,"10,2"
product_prices,is_active,boolean,","
product_prices,created_at,timestamp without time zone,","
product_prices,updated_at,timestamp without time zone,","
product_prices,data_source,character varying,"50"
product_prices,deleted_at,timestamp without time zone,","
product_type_map,product_id,integer,"32,0"
product_type_map,type_id,integer,"32,0"
product_type_map,created_at,timestamp without time zone,","
product_type_map,updated_at,timestamp without time zone,","
product_type_map,data_source,character varying,"50"
product_type_map,deleted_at,timestamp without time zone,","
product_types,type_id,integer,"32,0"
product_types,name,character varying,"50"
product_types,created_at,timestamp without time zone,","
product_types,updated_at,timestamp without time zone,","
product_types,data_source,character varying,"50"
product_types,deleted_at,timestamp without time zone,","
products,product_id,integer,"32,0"
products,name,character varying,"100"
products,category_id,integer,"32,0"
products,description,text,","
products,is_available,boolean,","
products,unit_id,integer,"32,0"
products,created_at,timestamp without time zone,","
products,updated_at,timestamp without time zone,","
products,data_source,character varying,"50"
products,deleted_at,timestamp without time zone,","
type_filler_map,type_id,integer,"32,0"
type_filler_map,filler_id,integer,"32,0"
type_filler_map,created_at,timestamp without time zone,","
type_filler_map,updated_at,timestamp without time zone,","
type_filler_map,data_source,character varying,"50"
type_filler_map,deleted_at,timestamp without time zone,","
units,unit_id,integer,"32,0"
units,name,character varying,"20"
units,short_name,character varying,"10"
units,created_at,timestamp without time zone,","
units,updated_at,timestamp without time zone,","
units,data_source,character varying,"50"
units,deleted_at,timestamp without time zone,","
volumes,volume_id,integer,"32,0"
volumes,volume_ml,integer,"32,0"
volumes,created_at,timestamp without time zone,","
volumes,updated_at,timestamp without time zone,","
volumes,data_source,character varying,"50"
volumes,deleted_at,timestamp without time zone,","
